iter	Passed	Remaining
552	14268	6373
553	14295	6347
554	14320	6321
555	14345	6295
556	14370	6269
557	14396	6243
558	14421	6217
559	14446	6191
560	14472	6165
561	14496	6139
562	14520	6112
563	14545	6086
564	14570	6060
565	14596	6034
566	14623	6009
567	14648	5983
568	14673	5957
569	14698	5930
570	14723	5904
571	14750	5879
572	14773	5852
573	14799	5827
574	14825	5801
575	14850	5775
576	14875	5749
577	14900	5722
578	14925	5697
579	14949	5670
580	14973	5644
581	14999	5618
582	15024	5592
583	15048	5565
584	15074	5540
585	15099	5514
586	15125	5488
587	15166	5468
588	15206	5447
589	15251	5428
590	15289	5406
591	15323	5383
592	15362	5362
593	15389	5337
594	15413	5310
595	15438	5284
596	15465	5258
597	15490	5232
598	15514	5206
599	15540	5180
600	15564	5153
601	15589	5127
602	15614	5101
603	15641	5075
604	15667	5049
605	15692	5023
606	15719	4997
607	15750	4973
608	15785	4950
609	15828	4930
610	15866	4908
611	15891	4881
612	15918	4855
613	15942	4829
614	15966	4802
615	15991	4776
616	16016	4750
617	16040	4723
618	16067	4698
619	16092	4671
620	16116	4645
621	16142	4619
622	16168	4593
623	16194	4567
624	16219	4541
625	16242	4514
626	16267	4488
627	16293	4462
628	16319	4436
629	16348	4411
630	16374	4385
631	16399	4359
632	16424	4333
633	16448	4306
634	16473	4280
635	16498	4254
636	16523	4228
637	16547	4201
638	16572	4175
639	16599	4149
640	16633	4125
641	16661	4100
642	16703	4078
643	16736	4054
644	16773	4030
645	16807	4006
646	16833	3980
647	16867	3956
648	16894	3930
649	16920	3904
650	16945	3878
651	16972	3852
652	16996	3826
653	17020	3799
654	17045	3773
655	17070	3747
656	17094	3720
657	17118	3694
658	17143	3668
659	17167	3641
660	17195	3616
661	17220	3589
662	17244	3563
663	17270	3537
664	17297	3511
665	17323	3485
666	17351	3459
667	17377	3433
668	17404	3407
669	17426	3381
670	17452	3355
671	17478	3329
672	17504	3303
673	17530	3277
674	17556	3251
675	17580	3224
676	17605	3198
677	17630	3172
678	17656	3146
679	17681	3120
680	17706	3094
681	17731	3067
682	17757	3041
683	17781	3015
684	17807	2989
685	17833	2963
686	17861	2937
687	17889	2912
688	17916	2886
689	17946	2861
690	17975	2835
691	17999	2809
692	18025	2783
693	18049	2756
694	18073	2730
695	18099	2704
696	18123	2678
697	18147	2651
698	18176	2626
699	18203	2600
700	18231	2574
701	18258	2548
702	18289	2523
703	18315	2497
704	18342	2471
705	18370	2445
706	18397	2419
707	18422	2393
708	18447	2367
709	18473	2341
710	18497	2315
711	18536	2290
712	18581	2267
713	18612	2241
714	18651	2217
715	18685	2192
716	18714	2166
717	18747	2141
718	18776	2115
719	18805	2089
720	18831	2063
721	18860	2037
722	18888	2011
723	18915	1985
724	18942	1959
725	18969	1933
726	18994	1907
727	19020	1881
728	19047	1855
729	19073	1829
730	19101	1802
731	19128	1776
732	19153	1750
733	19180	1724
734	19205	1698
735	19235	1672
736	19267	1647
737	19298	1621
738	19325	1595
739	19352	1569
740	19376	1542
741	19404	1516
742	19432	1490
743	19458	1464
744	19485	1438
745	19511	1412
746	19538	1386
747	19565	1360
748	19591	1334
749	19618	1307
750	19645	1281
751	19674	1255
752	19701	1229
753	19728	1203
754	19755	1177
755	19781	1151
756	19804	1124
757	19830	1098
758	19856	1072
759	19881	1046
760	19912	1020
761	19943	994
762	19970	968
763	19994	942
764	20019	915
765	20044	889
766	20068	863
767	20092	837
768	20116	810
769	20139	784
770	20164	758
771	20189	732
772	20214	706
773	20238	679
774	20265	653
775	20292	627
776	20317	601
777	20342	575
778	20367	549
779	20393	522
780	20418	496
781	20444	470
782	20470	444
783	20493	418
784	20518	392
785	20548	365
786	20575	339
787	20599	313
788	20626	287
789	20651	261
790	20678	235
791	20703	209
792	20729	182
793	20754	156
794	20779	130
795	20805	104
796	20831	78
797	20855	52
798	20881	26
799	20907	0
